antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Wool'}),frozenset({'Chambray'}),0.11883182275931521,0.13293051359516617,0.022155085599194362,0.1864406779661017,1.402542372881356,0.006358710368348834,1.0657729103726081,0.3257142857142857
frozenset({'Chambray'}),frozenset({'Wool'}),0.13293051359516617,0.11883182275931521,0.022155085599194362,0.16666666666666669,1.402542372881356,0.006358710368348834,1.0574018126888218,0.3310104529616725
frozenset({'Cardigan'}),frozenset({'Henley'}),0.1299093655589124,0.14400805639476336,0.026183282980866064,0.20155038759689925,1.3995771670190276,0.00747528773925028,1.0720675798551023,0.32812499999999994
frozenset({'Henley'}),frozenset({'Cardigan'}),0.14400805639476336,0.1299093655589124,0.026183282980866064,0.18181818181818182,1.3995771670190276,0.00747528773925028,1.0634441087613293,0.3335294117647058
frozenset({'Cargo Pants'}),frozenset({'Joggers'}),0.12890231621349446,0.1510574018126888,0.027190332326283987,0.2109375,1.39640625,0.007718683351435881,1.0758876491878795,0.32588310854206803
frozenset({'Joggers'}),frozenset({'Cargo Pants'}),0.1510574018126888,0.12890231621349446,0.027190332326283987,0.18,1.3964062499999998,0.007718683351435881,1.0623142485201287,0.33438776855146957
frozenset({'Dress'}),frozenset({'Leather'}),0.11883182275931521,0.12185297079556898,0.02014098690835851,0.1694915254237288,1.3909511136013448,0.005660976280083444,1.0573607086339067,0.3189714285714286
frozenset({'Leather'}),frozenset({'Dress'}),0.12185297079556898,0.11883182275931521,0.02014098690835851,0.1652892561983471,1.3909511136013446,0.005660976280083444,1.0556569252091372,0.3200688073394496
frozenset({'Linen'}),frozenset({'Camp Collared'}),0.12185297079556898,0.13695871097683787,0.023162134944612285,0.19008264462809918,1.3878828390860476,0.006473309135752888,1.065591795630639,0.3182588751495812
frozenset({'Camp Collared'}),frozenset({'Linen'}),0.13695871097683787,0.12185297079556898,0.023162134944612285,0.1691176470588235,1.3878828390860476,0.006473309135752888,1.056884920104448,0.3238293338744863
frozenset({'Mandarin Collar'}),frozenset({'Henley'}),0.11681772406847936,0.14400805639476336,0.023162134944612285,0.1982758620689655,1.3768386785628162,0.006339441549050806,1.0676888758947038,0.30990035199048127
frozenset({'Henley'}),frozenset({'Mandarin Collar'}),0.14400805639476336,0.11681772406847936,0.023162134944612285,0.1608391608391608,1.3768386785628162,0.006339441549050806,1.0524588788183955,0.3197442455242966
frozenset({'Oxford Cloth'}),frozenset({'Bomber'}),0.13695871097683787,0.14501510574018128,0.027190332326283987,0.19852941176470587,1.3690257352941175,0.007329250371938916,1.0667701432966545,0.3123298327499026
frozenset({'Bomber'}),frozenset({'Oxford Cloth'}),0.14501510574018128,0.13695871097683787,0.027190332326283987,0.18749999999999997,1.3690257352941173,0.007329250371938916,1.0622046634131226,0.31527287004318794
frozenset({'Flannel'}),frozenset({'Pleated'}),0.13595166163141995,0.13595166163141995,0.025176233635448138,0.18518518518518517,1.3621399176954732,0.006693379335104034,1.0604229607250755,0.30769230769230754
frozenset({'Pleated'}),frozenset({'Flannel'}),0.13595166163141995,0.13595166163141995,0.025176233635448138,0.18518518518518517,1.3621399176954732,0.006693379335104034,1.0604229607250755,0.30769230769230754
frozenset({'Slim-Fit'}),frozenset({'Cuban Collar'}),0.14602215508559918,0.11681772406847936,0.023162134944612285,0.15862068965517243,1.3578478002378123,0.006104159123938059,1.0496838525415615,0.3086033634126333
frozenset({'Cuban Collar'}),frozenset({'Slim-Fit'}),0.11681772406847936,0.14602215508559918,0.023162134944612285,0.1982758620689655,1.357847800237812,0.006104159123938059,1.0651766667749516,0.2983986911903227
frozenset({'Leather'}),frozenset({'Trench Coat'}),0.12185297079556898,0.1339375629405841,0.022155085599194362,0.18181818181818185,1.3574846206425155,0.005834395653765687,1.058520756405953,0.2998853211009175
frozenset({'Trench Coat'}),frozenset({'Leather'}),0.1339375629405841,0.12185297079556898,0.022155085599194362,0.16541353383458648,1.3574846206425155,0.005834395653765687,1.0521941881458496,0.30406976744186054
frozenset({'Puffer'}),frozenset({'Denim'}),0.1309164149043303,0.23867069486404835,0.04229607250755287,0.3230769230769231,1.35365141187926,0.0110501607932263,1.1246910189508377,0.3006124813772554
frozenset({'Denim'}),frozenset({'Puffer'}),0.23867069486404835,0.1309164149043303,0.04229607250755287,0.17721518987341772,1.35365141187926,0.0110501607932263,1.0562708188085832,0.3431594860166288
frozenset({'Pleated'}),frozenset({'Casual Slim Fit'}),0.13595166163141995,0.14803625377643503,0.027190332326283987,0.19999999999999998,1.3510204081632653,0.007064557643687078,1.064954682779456,0.3006993006993007
frozenset({'Casual Slim Fit'}),frozenset({'Pleated'}),0.14803625377643503,0.13595166163141995,0.027190332326283987,0.1836734693877551,1.3510204081632653,0.007064557643687078,1.0584592145015106,0.3049645390070922
